sep=,
"Account Description","Account Date","Bank / Customer / Supplier","Reference","Transaction Type","Description","Debit","Credit","Balance"
"3300/020 : Computer - Platforms",,,,,,,
"3300/020 : Computer - Platforms","Opening Balance as at: 01/03/2024",,,,,"0",,
,"22/03/2024","8400/000 : FNB","74838424079102256738613","Account Payment","546.25 INTUIT QBoo 4910505225 19 MAR 74838424079102256738613","546.25",,"311977.6"
,"22/03/2024","8400/000 : FNB","74007484081248316945428","Account Payment","249.00 CBACCleaner 4910505191 20 MAR 74007484081248316945428","249",,"312226.6"
,"22/03/2024","8400/000 : FNB","24011344079000043863732","Account Payment","59.00 GREENBACK.COM 4910505225 19 MAR 24011344079000043863732","1143.92",,"313370.52"
,"22/03/2024","8400/000 : FNB","24492164080000009425598","Account Payment","20.00 REPLIT INC. 4910505225 20 MAR 24492164080000009425598","388.4",,"313758.92"
,"22/03/2024","8400/000 : FNB","74987504080000604031043","Account Payment","690.00 FACEBK S5VK8 4910505191 20 MAR 74987504080000604031043","690",,"314448.92"
,"22/03/2024","8400/000 : FNB","74838424079102256738605","Account Payment","264.50 INTUIT QBoo 4910505225 19 MAR 74838424079102256738605","264.5",,"314713.42"
,"22/03/2024","8400/000 : FNB","24000774081000004898161","Account Payment","54.00 AIRTABLE.COM 4910505191 21 MAR 24000774081000004898161","1045.3",,"315758.72"
,"23/03/2024","8400/000 : FNB","24492154082713363979039","Account Payment","1.00 BEENVERIFIED I 4910505191 22 MAR 24492154082713363979039","19.26",,"315777.98"
,"25/03/2024","8400/000 : FNB","74609054083000001401220","Account Payment","299.00 TIME IS LTD 4910505191 22 MAR 74609054083000001401220","5821.76",,"321599.74"
,"25/03/2024","8400/000 : FNB","24430994083091089002326","Account Payment","378.35 DNHGODADDY. 4910505191 22 MAR 24430994083091089002326","378.35",,"321978.09"
,"25/03/2024","STOCK2SHOP (PTY) LTD","WWI31301","Supplier Invoice","B2B Trade Store","253.2",,"322231.29"
,"26/03/2024","8400/000 : FNB","74609054085000000504303","Account Payment","10.00 MATTERMOST 4910505191 24 MAR 74609054085000000504303","194.71",,"322426"
,"26/03/2024","8400/000 : FNB","74609054083000004315310","Account Payment","17.25 SLACK T1AS3LC 4910505191 23 MAR 74609054083000004315310","335.88",,"322761.88"
,"26/03/2024","8400/000 : FNB","74987504084001522838036","Account Payment","18.38 Dropbox 11TDM 4910505191 24 MAR 74987504084001522838036","357.88",,"323119.76"
,"26/03/2024","8400/000 : FNB","74609054085000003855900","Account Payment","376.40 HOLASPIRIT 4910505225 25 MAR 74609054085000003855900","7937.35",,"331057.11"
,"26/03/2024","8400/000 : FNB","74609054085000003938060","Account Payment","231.95 HOLASPIRIT 4910505225 25 MAR 74609054085000003938060","4891.26",,"335948.37"
,"26/03/2024","8400/000 : FNB","74987504084000009395080","Account Payment","1124.99 LinkedIn SN 4910505191 24 MAR 74987504084000009395080","1124.99",,"337073.36"
